course_name,course_organization,course_number,price,course_status
【博为峰】软件测试国际权威认证ISTQB2018版考纲培训免费咨询,博为峰网校在线教育,共4节,免费,132
java自动化测试入门,柠檬班,共9节,0.02,2145
Spring底层源码分析,鲁班学院,进度：2/2节,0.02,2208
全面详解并实操SoapUI接口测试实战课程【柠檬班】,柠檬班,共13节,0.02,185
Flowable modeler设计器集成,分享牛,共5节,免费,41
CCNA安全思科网络工程师,太阁IT认证中心,进度：7/7节,免费,75
Web安全工程师之攻防实验室搭建,拼客学院,共1节,免费,9
Web前端开发(HTML/CSS/javaScript/Vue/React/Node),六星教育,共28节,免费,842
python基础教程-马哥7天共学Python入门基础课程,马哥教育,共7节,免费,550
json-Python自动化测试-项目实战-/测试开发/接口/性能【学神IT】,学神IT教育,进度：1/25节,6780.0,26
并发编程之AQS底层源码分析【鲁班学院】,鲁班学院,共3节,免费,102
Python零基础快速就业到高级工程师/网络爬虫/人工智能/商业项目,六星云课堂,共44节,免费,4391
Spring Cloud微服务实战,享学课堂,共25节,488.0,504
PHP7进阶到架构-Laravel/Redis/Swoole/高并发分布式【六星教育】,六星教育,进度：12/22节,免费,2046
【柠檬班】软件测试自学/面试/接口/压力/自动化/性能/入门到精通,柠檬班,共42节,免费,2043
2020权威「HTML+CSS」零基础入门精英课,渡一教育,共10节,免费,1606
postman接口测试实战从入门到精通软件精品课【柠檬班】,柠檬班,共10节,0.02,677
CRMEB门店设置与核销,鲁冬明,共1节,免费,122
软件测试从小白到高手全程班【柠檬班】第67期,柠檬班,随到随学,7680.0,362
高薪就业+云架构师课,学神IT教育,课程2,8600.0,14
Python全栈软件自动化测试VIP课程【柠檬班】,柠檬班,共28节,0.02,239
2019最新版从零开始学MT4平台MQL4语言编程第2阶段,漆学军,共4节,免费,30
自媒体运营|新媒体运营|微信公众号大鱼号百家号企鹅号今日头条号,微客教育,共4节,免费,1
Python自动化开发实战课程(基础篇)-【马哥教育】,马哥教育,共75节,免费,394
.NET/C#架构师/高级开发/Core/微服务/分布式/高并发【软谋教育】,软谋教育,共3节,免费,1500
SpringIOC底层源码解析【鲁班学院】,鲁班学院,共7节,免费,295
2020年软考系统集成项目管理工程师--基础知识 精讲免费视频,小任老师,共10节,免费,237
C/C++ 零基到大神精讲(C++17最新标准/游戏编程/项目实战),易道云学院,共16节,免费,1769
C#/.NET大数据高并发架构设计/.NET构架师【软谋教育】,软谋教育,共11节,免费,220
C语言/C++语言/数据结构算法/MFC/QT【六星教育】,杰越学院,共19节,免费,1000
Mysql底层原理与性能调优【图灵学院】,图灵学院,共4节,免费,472
Jmeter高级性能测试项目实战(赠送Loadrunner视频）,松勤软件测试,随到随学,3980.0,89
