course_link,course_name,course_number,course_organization,course_price,course_status
//ke.qq.com/course/475496#term_id=100569390,【博为峰】软件测试国际权威认证ISTQB2018版考纲培训VIP体验,7人购买,博为峰网校在线教育,¥2.23,共4节
//ke.qq.com/course/380991#term_id=100569390,Python零基础快速就业到高级工程师/网络爬虫/人工智能/商业项目,0088人最近报名,,免费,共34节
//ke.qq.com/course/473724#term_id=100569390,【博为峰】软件测试国际权威认证ISTQB2018版考纲培训免费咨询,509人最近报名,博为峰网校在线教育,免费,共5节
//ke.qq.com/course/133640#term_id=100569390,Web前端开发(HTML/CSS/javaScript/Vue/React/Node),642人最近报名,六星教育,免费,共30节
//ke.qq.com/course/375599#term_id=100569390,Java零基础入门到精通--上[历史 运算符 语法结构 数组 面向对象],3925人最近报名,,免费,共16节
//ke.qq.com/course/328509#term_id=100569390,PHP7进阶到架构-Laravel/Redis/Swoole/高并发分布式【六星教育】,5704人最近报名,,免费,进度：14/16节
//ke.qq.com/course/437958#term_id=100569390,json-Python自动化测试-项目实战-/测试开发/接口/性能【学神IT】,31人购买,学神IT教育,¥1462.22,进度：1/25节
//ke.qq.com/course/405676#term_id=100569390,CCNA安全思科网络工程师,62人最近报名,,免费,进度：7/7节
//ke.qq.com/course/332866#term_id=100569390,python基础教程-马哥7天共学Python入门基础课程,133人最近报名,马哥教育,免费,共7节
//ke.qq.com/course/131374#term_id=100569390,【柠檬班】软件测试自学/面试/接口/压力/自动化/性能/入门到精通,5719人最近报名,,免费,共42节
//ke.qq.com/course/468333#term_id=100569390,JVM GC调优 预习课,051人最近报名,,免费,共1节
//ke.qq.com/course/276498#term_id=100569390,【速成班】自媒体短视频赚钱|抖音Vlog今日头条号大鱼企鹅百家号,5956人最近报名,泛学苑自媒体,免费,共8节
//ke.qq.com/course/425746#term_id=100569390,Spring Cloud微服务实战,929人购买,享学课堂,¥066.22,共25节
//ke.qq.com/course/231570#term_id=100569390,2020权威「HTML+CSS」零基础入门精英课,5963人最近报名,,免费,共10节
//ke.qq.com/course/441237#term_id=100569390,ADAS功能软件开发_序章,58人最近报名,孙忠潇,免费,共1节
//ke.qq.com/course/455581#term_id=100569390,并发编程之AQS底层源码分析【鲁班学院】,559人最近报名,鲁班学院,免费,共3节
//ke.qq.com/course/360025#term_id=100427899,【NEXT学院】人人都会微信小程序,53万人购买,腾讯课堂NEXT学院,¥0.72,共6节
//ke.qq.com/course/451441#term_id=100427899,postman接口测试实战从入门到精通软件精品课【柠檬班】,164人购买,,¥2.23,共10节
//ke.qq.com/course/429389#term_id=100427899,Java响应式编程【马士兵教育】,308人最近报名,,免费,共1节
//ke.qq.com/course/282859#term_id=100427899,java自动化测试入门,3504人购买,,¥2.23,共9节
//ke.qq.com/course/package/21995,高薪就业+云架构师课,50人购买,学神IT教育,¥6122.22,课程2
