课程名称,价格,报名人数,课程进度,课程机构
【博为峰】软件测试国际权威认证ISTQB2018版考纲培训免费咨询,0.0,587,共5节,博为峰网校在线教育
Web安全工程师之攻防实验室搭建,0.0,55,共1节,拼客学院
Web前端开发(HTML/CSS/javaScript/Vue/React/Node),0.0,605,共30节,六星教育
Python零基础快速就业到高级工程师/网络爬虫/人工智能/商业项目,0.0,22,共45节,六星云课堂
并发编程之AQS底层源码分析【鲁班学院】,0.0,558,共3节,鲁班学院
【柠檬班】软件测试自学/面试/接口/压力/自动化/性能/入门到精通,0.0,3222,共42节,柠檬班
python基础教程-马哥7天共学Python入门基础课程,0.0,122,共7节,马哥教育
CCNA安全思科网络工程师,0.0,46,进度：7/7节,太阁IT认证中心
json-Python自动化测试-项目实战-/测试开发/接口/性能【学神IT】,1462.22,31,进度：1/25节,学神IT教育
java自动化测试入门,2.23,3501,共9节,柠檬班
Java响应式编程【马士兵教育】,0.0,309,共1节,马士兵老师
全面详解并实操SoapUI接口测试实战课程【柠檬班】,2.23,569,共13节,柠檬班
Spring Cloud微服务实战,66.22,920,共25节,享学课堂
postman接口测试实战从入门到精通软件精品课【柠檬班】,2.23,168,共10节,柠檬班
PHP7进阶到架构-Laravel/Redis/Swoole/高并发分布式【六星教育】,0.0,5766,进度：13/22节,六星教育
2020权威「HTML+CSS」零基础入门精英课,0.0,5968,共10节,渡一教育
【速成班】自媒体短视频赚钱|抖音Vlog今日头条号大鱼企鹅百家号,0.0,5951,共8节,泛学苑自媒体
2020年软考系统集成项目管理工程师--基础知识 精讲免费视频,0.0,383,共10节,小任老师
Jmeter高级性能测试项目实战(赠送Loadrunner视频）,8762.22,72,随到随学,松勤软件测试
Java日志框架-SLF4J入门,0.0,310,共1节,马士兵老师
高薪就业+云架构师课,6122.22,50,课程2,学神IT教育
自媒体运营|新媒体运营|微信公众号大鱼号百家号企鹅号今日头条号,0.0,5,共4节,微客教育
CRMEB门店设置与核销,0.0,535,共1节,鲁冬明
Python自动化开发实战课程(基础篇)-【马哥教育】,0.0,24,共75节,马哥教育
2019最新版从零开始学MT4平台MQL4语言编程第2阶段,0.0,82,共4节,漆学军
Mysql底层原理与性能调优【图灵学院】,0.0,40,共4节,图灵学院
C#/.Net/架构师/分布式/跨平台/微服务/系统架构/底层原理/框架,0.0,5325,共74节,朝夕教育
.NET/C#架构师/高级开发/Core/微服务/分布式/高并发【软谋教育】,0.0,5072,共3节,软谋教育
C#/.NET上位机软件开发VIP体验课【资料获取加QQ：995551858】,0.0,893,共28节,喜科堂互联教育
深入讲解spring aop原理、源码分析【鲁班学院】,0.0,534,共3节,鲁班学院
Java零基础入门到精通--上[历史 运算符 语法结构 数组 面向对象],0.0,3060,共16节,渡一教育
C/C++ 零基到大神精讲(C++17最新标准/游戏编程/项目实战),0.0,5490,共16节,易道云学院
SpringIOC底层源码解析【鲁班学院】,0.0,825,共7节,鲁班学院
【NEXT学院】人人都会微信小程序,0.72,53,共6节,腾讯课堂NEXT学院
2020软考--网络工程师-免费视频课程,0.0,353,共15节,小任老师
